"subjects","E","S","R","rt"
"bl1t","accuracy","right","right",0.4664
"bl1t","accuracy","right","right",1.2654
"bl1t","speed","right","right",0.4199
"bl1t","accuracy","left","left",0.4519
"bl1t","speed","right","left",0.3339
"bl1t","neutral","left","left",0.4042
"bl1t","accuracy","right","right",0.4578
"bl1t","speed","right","right",0.3984
"bl1t","accuracy","left","left",0.4714
"bl1t","accuracy","right","right",0.4805
"bl1t","accuracy","left","left",0.9739
"bl1t","accuracy","right","right",0.4211
"bl1t","neutral","right","right",0.5207
"bl1t","neutral","right","right",0.4628
"bl1t","neutral","right","right",0.3529
"bl1t","speed","left","left",0.3946
"bl1t","accuracy","right","right",0.4867
"bl1t","speed","left","left",0.3422
"bl1t","neutral","right","right",0.4218
"bl1t","neutral","left","left",0.4102
"bl1t","accuracy","left","left",0.442
"bl1t","accuracy","left","left",0.4845
"bl1t","neutral","left","left",0.3861
"bl1t","accuracy","left","left",0.4094
"bl1t","neutral","right","right",0.4906
"bl1t","speed","right","left",0.386
"bl1t","neutral","right","right",0.3658
"bl1t","speed","right","left",0.3253
"bl1t","neutral","right","right",0.6768
"bl1t","speed","right","right",0.728
"bl1t","neutral","right","left",0.6879
"bl1t","neutral","right","right",0.4689
"bl1t","neutral","left","left",0.4519
"bl1t","accuracy","right","right",0.5717
"bl1t","accuracy","right","left",0.5374
"bl1t","accuracy","right","right",0.6419
"bl1t","neutral","right","right",0.9115
"bl1t","neutral","left","left",0.4664
"bl1t","speed","right","right",0.3901
"bl1t","neutral","left","left",0.3885
"bl1t","neutral","right","right",0.6573
"bl1t","neutral","left","left",0.4181
"bl1t","neutral","left","left",0.3952
"bl1t","speed","right","right",0.4262
"bl1t","speed","left","left",0.3476
"bl1t","neutral","left","left",0.4766
"bl1t","neutral","left","left",0.3954
"bl1t","neutral","right","right",0.3991
"bl1t","speed","right","right",0.4481
"bl1t","speed","left","left",0.3039
"bl1t","accuracy","left","right",0.4681
"bl1t","neutral","right","right",0.808
"bl1t","accuracy","left","left",1.0231
"bl1t","neutral","left","left",0.5448
"bl1t","speed","left","left",0.3633
"bl1t","accuracy","right","right",0.4389
"bl1t","speed","right","left",0.3383
"bl1t","speed","right","right",0.3453
"bl1t","speed","right","right",0.4846
"bl1t","accuracy","right","right",0.8487
"bl1t","speed","left","left",0.3339
"bl1t","neutral","right","right",0.5255
"bl1t","accuracy","right","right",1.0052
"bl1t","accuracy","right","left",0.5088
"bl1t","neutral","left","left",0.5725
"bl1t","neutral","left","left",0.991
"bl1t","speed","left","left",0.3056
"bl1t","speed","right","left",0.3835
"bl1t","speed","right","right",0.4168
"bl1t","speed","left","left",0.5526
"bl1t","accuracy","right","left",1.0382
"bl1t","speed","left","left",0.3867
"bl1t","accuracy","right","right",0.4974
"bl1t","accuracy","left","left",0.4479
"bl1t","accuracy","left","left",0.4151
"bl1t","speed","left","left",0.4143
"bl1t","speed","left","right",0.3295
"bl1t","neutral","right","right",0.6654
"bl1t","accuracy","right","right",0.4755
"bl1t","neutral","right","right",0.5798
"bl1t","accuracy","right","left",0.477
"bl1t","accuracy","right","right",0.5196
"bl1t","accuracy","right","right",0.4921
"bl1t","speed","right","right",0.3652
"bl1t","speed","left","left",0.3197
"bl1t","accuracy","right","left",0.6466
"bl1t","accuracy","left","left",0.4989
"bl1t","accuracy","left","left",0.5383
"bl1t","speed","left","left",0.3205
"bl1t","speed","right","left",0.3419
"bl1t","neutral","right","right",0.9823
"bl1t","accuracy","left","left",0.4705
"bl1t","neutral","left","left",0.4069
"bl1t","neutral","left","left",0.3513
"bl1t","speed","right","left",0.3753
"bl1t","accuracy","right","right",0.5869
"bl1t","neutral","left","left",0.4931
"bl1t","accuracy","left","left",0.4594
"bl1t","neutral","right","right",0.4651
"bl1t","speed","left","left",0.3904
"bl1t","speed","right","left",0.3886
"bl1t","speed","left","left",0.3747
"bl1t","speed","left","right",0.3486
"bl1t","speed","right","right",0.4661
"bl1t","neutral","right","right",0.5654
"bl1t","accuracy","right","right",0.5855
"bl1t","speed","right","left",0.2925
"bl1t","speed","left","right",0.2687
"bl1t","neutral","right","right",0.4568
"bl1t","accuracy","right","right",0.4504
"bl1t","speed","left","left",0.338
"bl1t","accuracy","left","left",0.4161
"bl1t","speed","left","left",0.357
"bl1t","speed","left","left",0.3531
"bl1t","speed","left","right",0.4127
"bl1t","accuracy","left","left",0.6375
"bl1t","neutral","right","right",0.4895
"bl1t","accuracy","right","left",0.4388
"bl1t","neutral","right","right",0.5282
"bl1t","accuracy","left","left",0.4477
"bl1t","speed","left","left",0.3787
"bl1t","accuracy","left","left",0.3771
"bl1t","neutral","right","right",0.6506
"bl1t","neutral","left","left",0.465
"bl1t","neutral","left","left",0.4576
"bl1t","neutral","left","left",0.4195
"bl1t","neutral","left","left",0.432
"bl1t","speed","left","left",0.4175
"bl1t","accuracy","right","right",0.5699
"bl1t","accuracy","right","right",0.5522
"bl1t","accuracy","right","right",0.4971
"bl1t","neutral","right","right",0.5426
"bl1t","accuracy","left","left",0.4754
"bl1t","accuracy","right","right",0.4396
"bl1t","accuracy","left","left",0.5203
"bl1t","accuracy","left","left",0.6059
"bl1t","neutral","left","left",0.7518
"bl1t","neutral","left","left",0.3438
"bl1t","neutral","left","left",0.4403
"bl1t","neutral","right","right",0.5473
"bl1t","accuracy","right","right",0.4813
"bl1t","speed","left","left",0.3701
"bl1t","neutral","left","left",0.4031
"bl1t","neutral","right","right",0.4073
"bl1t","speed","right","right",0.3782
"bl1t","speed","right","left",0.4445
"bl1t","accuracy","left","left",0.5519
"bl1t","speed","right","right",0.3658
"bl1t","speed","left","right",0.3869
"bl1t","accuracy","left","left",0.7327
"bl1t","accuracy","right","right",0.4377
"bl1t","neutral","right","left",0.3972
"bl1t","neutral","left","left",0.4179
"bl1t","speed","left","left",0.315
"bl1t","speed","left","left",0.354
"bl1t","neutral","right","right",0.4778
"bl1t","neutral","left","left",0.4704
"bl1t","speed","right","right",0.5043
"bl1t","accuracy","right","right",0.53
"bl1t","speed","right","left",0.4234
"bl1t","neutral","right","left",0.3669
"bl1t","speed","right","left",0.3281
"bl1t","accuracy","right","right",0.4607
"bl1t","neutral","right","right",0.5673
"bl1t","accuracy","right","right",0.8198
"bl1t","neutral","right","right",0.4125
"bl1t","speed","right","left",0.3698
"bl1t","speed","left","left",0.3676
"bl1t","speed","right","right",0.5012
"bl1t","accuracy","right","right",0.3599
"bl1t","speed","left","left",0.34
"bl1t","neutral","left","left",0.5485
"bl1t","speed","left","right",0.3165
"bl1t","neutral","right","right",0.6054
"bl1t","speed","right","left",0.3113
"bl1t","neutral","right","right",0.5813
"bl1t","accuracy","right","right",0.7143
"bl1t","speed","right","right",0.3395
"bl1t","accuracy","right","right",1.0175
"bl1t","accuracy","right","right",0.5017
"bl1t","accuracy","right","right",0.391
"bl1t","neutral","right","right",0.4294
"bl1t","accuracy","right","right",0.37
"bl1t","neutral","left","left",0.4117
"bl1t","speed","left","right",0.3524
"bl1t","neutral","right","right",0.4351
"bl1t","neutral","right","right",0.6845
"bl1t","speed","right","right",0.3902
"bl1t","accuracy","left","left",0.4527
"bl1t","neutral","right","left",0.4002
"bl1t","accuracy","left","left",0.4285
"bl1t","neutral","left","left",0.4281
"bl1t","accuracy","right","right",0.7222
"bl1t","neutral","left","left",0.4269
"bl1t","speed","left","right",0.3592
"bl1t","accuracy","left","left",0.4722
"bl1t","neutral","left","left",0.4293
"bl1t","speed","left","left",0.3843
"bl1t","speed","right","right",0.3465
"bl1t","neutral","left","left",0.7158
"bl1t","speed","left","left",0.3267
"bl1t","accuracy","right","left",0.4893
"bl1t","neutral","right","left",0.4676
"bl1t","speed","right","right",0.4083
"bl1t","accuracy","left","left",0.5698
"bl1t","accuracy","left","left",0.4561
"bl1t","neutral","right","right",0.7121
"bl1t","accuracy","left","left",0.6363
"bl1t","speed","left","left",0.3431
"bl1t","speed","right","left",0.351
"bl1t","neutral","left","left",0.5526
"bl1t","neutral","left","left",0.3792
"bl1t","accuracy","right","left",0.3362
"bl1t","neutral","right","right",0.8872
"bl1t","speed","left","left",0.351
"bl1t","speed","left","left",0.497
"bl1t","accuracy","right","left",0.4843
"bl1t","speed","left","left",0.3725
"bl1t","neutral","left","left",0.5959
"bl1t","neutral","right","left",0.4017
"bl1t","neutral","left","left",0.765
"bl1t","neutral","left","left",0.438
"bl1t","accuracy","right","right",0.4069
"bl1t","speed","right","right",0.4203
"bl1t","accuracy","right","right",0.5623
"bl1t","neutral","left","left",0.5004
"bl1t","accuracy","left","left",0.4625
"bl1t","speed","right","right",0.4269
"bl1t","speed","left","left",0.3421
"bl1t","accuracy","right","left",0.4445
"bl1t","neutral","right","right",0.6205
"bl1t","speed","right","right",0.3438
"bl1t","neutral","left","left",0.3654
"bl1t","speed","right","right",0.3985
"bl1t","accuracy","left","right",0.5254
"bl1t","speed","left","left",0.2839
"bl1t","neutral","right","left",0.3511
"bl1t","neutral","left","left",0.5439
"bl1t","accuracy","left","left",0.4259
"bl1t","neutral","right","right",0.4428
"bl1t","neutral","right","left",0.4446
"bl1t","neutral","left","left",0.5406
"bl1t","accuracy","left","left",0.6548
"bl1t","accuracy","right","right",0.7035
"bl1t","neutral","right","right",0.8896
"bl1t","accuracy","left","left",0.512
"bl1t","speed","right","left",0.4437
"bl1t","neutral","right","right",0.5077
"bl1t","speed","right","left",0.2581
"bl1t","neutral","left","right",0.4092
"bl1t","accuracy","right","right",0.5427
"bl1t","speed","left","left",0.3948
"bl1t","speed","left","left",0.3802
"bl1t","accuracy","left","left",0.4796
"bl1t","speed","left","right",0.367
"bl1t","speed","right","right",0.3793
"bl1t","accuracy","right","right",0.4895
"bl1t","accuracy","left","left",0.4932
"bl1t","accuracy","left","left",0.4202
"bl1t","speed","right","left",0.5174
"bl1t","neutral","right","left",0.4543
"bl1t","accuracy","left","left",0.3448
"bl1t","accuracy","left","left",0.5296
"bl1t","neutral","right","right",0.4896
"bl1t","speed","right","left",0.3292
"bl1t","speed","left","left",0.4055
"bl1t","neutral","right","right",0.6527
"bl1t","accuracy","left","left",0.4881
"bl1t","neutral","left","left",0.7652
"bl1t","accuracy","right","right",0.5333
"bl1t","accuracy","left","left",0.3421
"bl1t","accuracy","right","right",0.8604
"bl1t","speed","left","left",0.3139
"bl1t","speed","left","left",0.3398
"bl1t","accuracy","right","right",1.2139
"bl1t","speed","left","left",0.3611
"bl1t","speed","left","left",0.3827
"bl1t","accuracy","left","left",0.5395
"bl1t","neutral","right","right",0.9299
"bl1t","accuracy","right","right",0.7104
"bl1t","accuracy","left","left",0.5113
"bl1t","accuracy","right","left",0.5432
"bl1t","accuracy","left","left",0.5687
"bl1t","accuracy","left","left",0.602
"bl1t","speed","right","left",0.3706
"bl1t","neutral","left","left",0.4186
"bl1t","speed","right","right",0.4099
"bl1t","accuracy","right","right",0.6638
"bl1t","accuracy","left","left",0.3446
"bl1t","accuracy","left","right",0.681
"bl1t","speed","right","left",0.3233
"bl1t","accuracy","left","left",0.866
"bl1t","accuracy","right","right",0.7837
"bl1t","accuracy","right","right",0.7065
"bl1t","speed","left","left",0.2954
"bl1t","accuracy","right","right",0.6408
"bl1t","speed","left","left",0.3247
"bl1t","accuracy","left","left",0.4565
"bl1t","speed","right","left",0.3497
"bl1t","neutral","left","left",0.539
"bl1t","neutral","left","left",0.8745
"bl1t","speed","left","right",0.2767
"bl1t","accuracy","right","right",0.7582
"bl1t","accuracy","left","left",0.5798
"bl1t","neutral","left","left",0.6208
"bl1t","neutral","right","right",0.5286
"bl1t","neutral","right","right",0.5812
"bl1t","speed","left","left",0.3043
"bl1t","accuracy","right","right",0.523
"bl1t","accuracy","left","left",0.6151
"bl1t","speed","left","left",0.8051
"bl1t","neutral","right","right",0.6863
"bl1t","speed","left","left",0.3245
"bl1t","speed","right","right",0.3094
"bl1t","speed","right","left",0.3222
"bl1t","neutral","left","left",0.5521
"bl1t","neutral","left","left",0.4509
"bl1t","accuracy","right","right",0.468
"bl1t","accuracy","right","right",0.5777
"bl1t","accuracy","right","right",0.5783
"bl1t","neutral","right","right",0.5323
"bl1t","speed","right","right",0.3166
"bl1t","neutral","left","left",0.4115
"bl1t","neutral","left","left",0.5061
"bl1t","accuracy","left","left",0.696
"bl1t","speed","right","left",0.2913
"bl1t","speed","left","left",0.3088
"bl1t","speed","right","right",0.4767
"bl1t","neutral","left","right",0.7416
"bl1t","speed","left","left",0.3651
"bl1t","accuracy","right","right",0.6054
"bl1t","accuracy","left","left",0.5534
"bl1t","speed","left","right",0.3405
"bl1t","neutral","right","right",0.428
"bl1t","accuracy","right","right",0.7259
"bl1t","speed","left","left",0.4974
"bl1t","accuracy","left","left",0.4925
"bl1t","speed","right","right",0.4289
"bl1t","accuracy","left","left",0.5249
"bl1t","neutral","right","right",0.4786
"bl1t","accuracy","right","right",0.4394
"bl1t","accuracy","right","right",0.5445
"bl1t","accuracy","left","left",0.6214
"bl1t","neutral","left","left",0.3675
"bl1t","accuracy","left","right",0.3743
"bl1t","speed","left","left",0.3066
"bl1t","neutral","right","right",0.565
"bl1t","accuracy","left","left",0.5576
"bl1t","neutral","right","right",0.5589
"bl1t","speed","right","left",0.3738
"bl1t","neutral","right","right",0.527
"bl1t","neutral","right","left",0.4079
"bl1t","speed","left","left",0.3913
"bl1t","speed","left","right",0.3102
"bl1t","accuracy","left","left",0.4179
"bl1t","speed","left","left",0.2936
"bl1t","speed","right","left",0.3249
"bl1t","accuracy","left","left",0.6843
"bl1t","accuracy","right","right",0.4565
"bl1t","accuracy","right","left",0.6156
"bl1t","accuracy","right","right",0.4999
"bl1t","accuracy","right","left",1.0968
"bl1t","speed","left","left",0.3265
"bl1t","neutral","left","left",0.4713
"bl1t","speed","left","right",0.3644
"bl1t","neutral","left","left",0.9876
"bl1t","accuracy","left","left",0.5061
"bl1t","accuracy","left","left",0.4146
"bl1t","speed","right","right",0.3681
"bl1t","accuracy","left","left",0.4516
"bl1t","accuracy","right","right",0.494
"bl1t","speed","right","left",0.301
"bl1t","neutral","left","left",0.6612
"bl1t","accuracy","left","left",0.4794
"bl1t","accuracy","left","right",0.5706
"bl1t","neutral","right","right",0.6286
"bl1t","speed","right","right",0.3499
"bl1t","neutral","left","left",0.5963
"bl1t","accuracy","left","left",0.4958
"bl1t","accuracy","right","right",0.4281
"bl1t","accuracy","left","right",0.4554
"bl1t","speed","left","left",0.4718
"bl1t","speed","right","right",0.3454
"bl1t","speed","left","left",0.3909
"bl1t","accuracy","right","left",0.3616
"bl1t","speed","left","right",0.3584
"bl1t","accuracy","left","left",0.9698
"bl1t","speed","right","right",0.3661
"bl1t","neutral","left","right",0.4013
"bl1t","speed","left","left",0.5606
"bl1t","accuracy","left","left",0.923
"bl1t","speed","left","right",0.373
"bl1t","neutral","right","right",0.8411
"bl1t","speed","left","left",0.3218
"bl1t","accuracy","right","right",0.5593
"bl1t","speed","left","left",0.3265
"bl1t","neutral","left","left",0.558
"bl1t","accuracy","left","left",0.9417
"bl1t","neutral","left","left",0.454
"bl1t","accuracy","left","left",0.7048
"bl1t","speed","right","left",0.2922
"bl1t","accuracy","left","left",0.3658
"bl1t","neutral","left","left",0.6678
"bl1t","accuracy","left","left",0.7401
"bl1t","speed","left","right",0.5796
"bl1t","accuracy","left","left",0.7834
"bl1t","speed","right","right",0.3707
"bl1t","neutral","left","left",0.507
"bl1t","neutral","left","left",0.399
"bl1t","speed","right","left",0.28
"bl1t","accuracy","left","left",0.5135
"bl1t","speed","right","right",0.3964
"bl1t","speed","left","left",0.4421
"bl1t","accuracy","left","left",0.6093
"bl1t","accuracy","left","left",0.4264
"bl1t","speed","right","left",0.5591
"bl1t","accuracy","left","left",0.3866
"bl1t","speed","right","right",0.4013
"bl1t","neutral","right","right",1.0195
"bl1t","neutral","left","left",0.5417
"bl1t","accuracy","right","right",1.1519
"bl1t","speed","right","right",0.3051
"bl1t","speed","left","left",0.4509
"bl1t","speed","left","left",0.3314
"bl1t","accuracy","left","left",0.4318
"bl1t","neutral","left","right",0.6713
"bl1t","speed","right","left",0.3731
"bl1t","neutral","left","left",0.4651
"bl1t","speed","right","right",0.3523
"bl1t","accuracy","left","right",0.6212
"bl1t","accuracy","left","left",0.7934
"bl1t","neutral","right","right",0.9473
"bl1t","accuracy","left","left",0.7618
"bl1t","neutral","left","left",0.864
"bl1t","accuracy","left","left",0.5113
"bl1t","accuracy","right","right",0.5354
"bl1t","accuracy","left","left",0.841
"bl1t","neutral","left","left",0.3601
"bl1t","accuracy","right","left",0.5264
"bl1t","accuracy","right","right",0.4965
"bl1t","speed","left","left",0.2864
"bl1t","neutral","right","right",0.4658
"bl1t","neutral","right","right",0.455
"bl1t","speed","left","left",0.3149
"bl1t","speed","left","right",0.3242
"bl1t","accuracy","left","left",0.4628
"bl1t","accuracy","left","left",0.4883
"bl1t","speed","right","right",0.3324
"bl1t","speed","left","left",0.3489
"bl1t","neutral","left","left",0.4666
"bl1t","neutral","right","left",0.344
"bl1t","speed","left","left",0.2831
"bl1t","neutral","left","left",0.3754
"bl1t","accuracy","left","left",0.7546
"bl1t","speed","left","left",0.3485
"bl1t","neutral","left","left",0.5626
"bl1t","speed","right","left",0.3207
"bl1t","neutral","right","left",0.6161
"bl1t","speed","right","right",0.4787
"bl1t","neutral","left","left",0.4221
"bl1t","speed","right","left",0.29
"bl1t","neutral","left","left",0.3615
"bl1t","speed","right","right",0.38
"bl1t","accuracy","left","left",0.3792
"bl1t","accuracy","right","left",0.7756
"bl1t","neutral","left","left",0.5137
"bl1t","accuracy","right","right",0.6976
"bl1t","neutral","left","left",0.8471
"bl1t","speed","left","left",0.3342
"bl1t","speed","right","left",0.3692
"bl1t","neutral","left","left",0.4839
"bl1t","neutral","left","left",0.4905
"bl1t","accuracy","left","left",0.709
"bl1t","accuracy","right","left",0.4806
"bl1t","speed","left","left",0.2757
"bl1t","accuracy","right","right",0.5289
"bl1t","neutral","left","left",0.5157
"bl1t","accuracy","left","left",0.4923
"bl1t","neutral","right","right",0.6085
"bl1t","speed","right","left",0.3474
"bl1t","speed","left","left",0.3626
"bl1t","accuracy","left","left",0.4
"bl1t","accuracy","right","right",0.4275
"bl1t","neutral","right","right",0.4801
"bl1t","neutral","right","left",0.4968
"bl1t","accuracy","left","left",1.0224
"bl1t","neutral","left","left",1.039
"bl1t","accuracy","right","right",0.5439
"bl1t","neutral","right","right",0.6689
"bl1t","neutral","right","left",0.4746
"bl1t","speed","left","left",0.3731
"bl1t","accuracy","right","right",0.9429
"bl1t","speed","right","left",0.2786
"bl1t","speed","right","left",0.3369
"bl1t","neutral","right","right",0.6077
"bl1t","speed","right","left",0.5391
"bl1t","accuracy","right","right",0.5639
"bl1t","neutral","right","right",1.2867
"bl1t","speed","right","left",0.2959
"bl1t","neutral","right","right",0.4992
"bl1t","accuracy","right","right",0.6444
"bl1t","speed","right","left",0.3364
"bl1t","accuracy","right","right",0.8226
"bl1t","neutral","left","left",0.578
"bl1t","speed","left","left",0.2626
"bl1t","accuracy","left","left",0.4132
"bl1t","speed","right","left",0.3112
"bl1t","accuracy","right","right",0.5831
"bl1t","neutral","left","right",0.4768
"bl1t","accuracy","right","left",0.5574
"bl1t","neutral","right","right",0.8333
"bl1t","speed","left","left",0.2883
"bl1t","neutral","left","left",0.4483
"bl1t","speed","left","left",0.3777
"bl1t","speed","left","right",0.3831
"bl1t","speed","left","left",0.3019
"bl1t","neutral","left","left",0.7016
"bl1t","speed","left","left",0.306
"bl1t","speed","left","left",0.2731
"bl1t","accuracy","right","right",0.7816
"bl1t","speed","right","right",0.3656
"bl1t","neutral","right","right",0.6137
"bl1t","accuracy","left","left",0.4498
"bl1t","speed","left","left",0.4787
"bl1t","speed","right","right",0.3448
"bl1t","neutral","right","right",0.4303
"bl1t","neutral","right","right",0.4326
"bl1t","neutral","right","right",0.5123
"bl1t","accuracy","right","right",1.422
"bl1t","accuracy","left","left",0.617
"bl1t","speed","right","left",0.2817
"bl1t","speed","left","left",0.3506
"bl1t","neutral","right","left",0.464
"bl1t","accuracy","left","left",0.5533
"bl1t","accuracy","right","right",0.846
"bl1t","accuracy","right","left",0.528
"bl1t","speed","left","left",0.3369
"bl1t","speed","right","left",0.2865
"bl1t","speed","right","right",0.4009
"bl1t","speed","left","left",0.3687
"bl1t","speed","right","left",0.3467
"bl1t","accuracy","left","left",0.7677
"bl1t","speed","right","right",0.3008
"bl1t","speed","left","right",0.335
"bl1t","speed","right","left",0.2927
"bl1t","neutral","left","left",0.5086
"bl1t","accuracy","left","left",0.459
"bl1t","accuracy","right","right",0.5617
"bl1t","accuracy","left","left",0.6253
"bl1t","speed","right","left",0.2756
"bl1t","speed","right","left",0.357
"bl1t","neutral","left","left",0.7142
"bl1t","accuracy","left","left",0.6806
"bl1t","speed","left","right",0.514
"bl1t","neutral","right","right",0.4979
"bl1t","speed","right","left",0.3227
"bl1t","speed","left","right",0.3822
"bl1t","speed","right","left",0.4365
"bl1t","accuracy","left","left",0.4499
"bl1t","speed","left","left",0.3036
"bl1t","accuracy","left","left",0.5999
"bl1t","accuracy","left","left",0.4781
"bl1t","speed","right","right",0.3407
"bl1t","neutral","left","left",0.5509
"bl1t","neutral","right","right",0.7748
"bl1t","accuracy","left","left",0.6551
"bl1t","neutral","left","left",0.4688
"bl1t","speed","right","right",0.3454
"bl1t","accuracy","right","right",0.6108
"bl1t","speed","right","left",0.3965
"bl1t","accuracy","right","right",0.8244
"bl1t","accuracy","left","right",0.6195
"bl1t","neutral","right","right",0.6148
"bl1t","neutral","left","left",0.6055
"bl1t","speed","left","left",0.3622
"bl1t","neutral","left","left",0.4439
"bl1t","speed","left","right",0.3302
"bl1t","speed","left","right",0.3954
"bl1t","neutral","left","right",0.5506
"bl1t","speed","left","left",0.3415
"bl1t","speed","right","right",0.339
"bl1t","accuracy","left","left",0.5516
"bl1t","speed","right","right",0.459
"bl1t","neutral","right","right",0.4238
"bl1t","neutral","left","left",0.8181
"bl1t","neutral","right","right",0.3996
"bl1t","speed","right","left",0.3215
"bl1t","accuracy","left","left",0.4502
"bl1t","neutral","left","left",0.3321
"bl1t","neutral","right","right",0.4684
"bl1t","speed","right","left",0.2924
"bl1t","speed","right","left",0.3184
"bl1t","accuracy","left","left",0.7399
"bl1t","neutral","right","right",0.6624
"bl1t","accuracy","left","left",0.4995
"bl1t","speed","left","right",0.3698
"bl1t","accuracy","left","left",0.3765
"bl1t","speed","right","left",0.341
"bl1t","neutral","right","right",0.5259
"bl1t","speed","right","right",0.3314
"bl1t","accuracy","left","left",0.4341
"bl1t","neutral","right","left",0.5081
"bl1t","speed","right","right",0.374
"bl1t","neutral","right","right",0.6178
"bl1t","neutral","left","left",0.4931
"bl1t","neutral","right","left",0.5491
"bl1t","speed","right","left",0.3548
"bl1t","neutral","left","left",0.6018
"bl1t","neutral","left","left",0.4323
"bl1t","speed","left","left",0.4744
"bl1t","speed","left","left",0.3518
"bl1t","speed","left","left",0.3241
"bl1t","speed","right","left",0.3205
"bl1t","accuracy","left","left",0.451
"bl1t","neutral","right","right",0.5735
"bl1t","neutral","left","left",0.3767
"bl1t","speed","right","right",0.3809
"bl1t","speed","left","left",0.3372
"bl1t","neutral","right","right",0.4841
"bl1t","accuracy","right","left",0.4133
"bl1t","speed","left","left",0.3526
"bl1t","accuracy","right","right",0.9948
"bl1t","speed","right","left",0.3865
"bl1t","speed","left","left",0.4428
"bl1t","neutral","left","left",0.4526
"bl1t","accuracy","right","right",0.5341
"bl1t","accuracy","right","left",0.5044
"bl1t","speed","left","left",0.3966
"bl1t","speed","left","left",0.3499
"bl1t","speed","left","left",0.3459
"bl1t","accuracy","left","left",1.4769
"bl1t","speed","left","right",0.3329
"bl1t","speed","left","left",0.3194
"bl1t","speed","left","right",0.3422
"bl1t","accuracy","right","right",0.5249
"bl1t","neutral","right","right",0.9281
"bl1t","accuracy","right","right",0.5091
"bl1t","speed","left","right",0.3455
"bl1t","speed","right","left",0.4006
"bl1t","speed","left","right",0.3646
"bl1t","speed","left","left",0.4086
"bl1t","neutral","right","right",0.6714
"bl1t","speed","right","left",0.4106
"bl1t","accuracy","left","left",0.5917
"bl1t","speed","right","right",0.3464
"bl1t","speed","left","left",0.353
"bl1t","speed","left","left",0.3169
"bl1t","neutral","right","right",0.6064
"bl1t","neutral","right","right",0.6163
"bl1t","accuracy","right","left",0.5786
"bl1t","neutral","right","right",1.0835
"bl1t","accuracy","right","right",0.4312
"bl1t","accuracy","left","left",0.4008
"bl1t","speed","right","right",0.3645
"bl1t","speed","right","left",0.4292
"bl1t","neutral","left","left",0.4579
"bl1t","accuracy","left","left",0.4759
"bl1t","accuracy","right","right",0.8234
"bl1t","accuracy","left","left",0.4491
"bl1t","neutral","left","left",0.437
"bl1t","accuracy","right","right",0.7228
"bl1t","neutral","left","left",0.457
"bl1t","speed","left","right",0.386
"bl1t","neutral","right","right",0.8875
"bl1t","neutral","right","right",0.5337
"bl1t","accuracy","left","right",0.5395
"bl1t","neutral","right","right",0.8637
"bl1t","speed","right","left",0.4279
"bl1t","accuracy","left","left",0.575
"bl1t","accuracy","left","left",0.442
"bl1t","speed","left","left",0.2871
"bl1t","accuracy","right","left",0.3764
"bl1t","accuracy","right","right",0.4797
"bl1t","speed","left","left",0.3105
"bl1t","accuracy","right","right",0.4783
"bl1t","accuracy","right","right",0.6754
"bl1t","accuracy","right","right",0.783
"bl1t","neutral","left","left",0.4223
"bl1t","speed","left","left",0.3687
"bl1t","accuracy","left","left",0.8135
"bl1t","neutral","left","left",0.5952
"bl1t","neutral","left","left",0.3579
"bl1t","neutral","left","left",0.8981
"bl1t","neutral","left","left",0.5079
"bl1t","speed","right","right",0.3514
"bl1t","neutral","left","left",0.5553
"bl1t","accuracy","left","left",0.9093
"bl1t","accuracy","right","right",0.5476
"bl1t","speed","right","left",0.3611
"bl1t","accuracy","left","left",0.5046
"bl1t","accuracy","left","left",0.8377
"bl1t","speed","right","right",0.4333
"bl1t","neutral","left","left",0.5377
"bl1t","neutral","left","right",0.6262
"bl1t","speed","left","left",0.3096
"bl1t","speed","right","right",0.3435
"bl1t","neutral","left","left",0.4646
"bl1t","neutral","left","left",0.4856
"bl1t","accuracy","left","right",0.5752
"bl1t","accuracy","left","left",0.4852
"bl1t","accuracy","right","left",0.6483
"bl1t","speed","right","right",0.3568
"bl1t","speed","right","right",0.3895
"bl1t","accuracy","right","left",0.6237
"bl1t","speed","left","left",0.3194
"bl1t","speed","right","left",0.2949
"bl1t","speed","left","left",0.2719
"bl1t","accuracy","left","right",0.4469
"bl1t","accuracy","right","left",0.7981
"bl1t","neutral","right","right",1.4322
"bl1t","speed","right","right",0.4598
"bl1t","speed","left","left",0.3023
"bl1t","speed","left","left",0.3065
"bl1t","speed","right","left",0.2951
"bl1t","speed","left","left",0.2576
"bl1t","speed","right","right",0.3378
"bl1t","speed","left","left",0.3535
"bl1t","accuracy","left","left",0.5993
"bl1t","accuracy","left","left",0.6163
"bl1t","neutral","left","left",0.4324
"bl1t","accuracy","right","left",0.3611
"bl1t","accuracy","right","right",0.8683
"bl1t","neutral","left","left",0.5122
"bl1t","accuracy","right","right",0.8256
"bl1t","speed","right","right",0.3409
"bl1t","neutral","left","left",0.5313
"bl1t","speed","left","right",0.3672
"bl1t","speed","left","left",0.4429
"bl1t","accuracy","right","right",1.1019
"bl1t","speed","left","right",0.3345
"bl1t","neutral","left","left",0.4326
"bl1t","speed","right","left",0.3452
"bl1t","speed","right","left",0.3535
"bl1t","neutral","right","right",0.8248
"hsft","accuracy","left","left",0.4727
"hsft","neutral","left","left",0.4087
"hsft","neutral","right","right",0.488
"hsft","accuracy","left","left",0.4493
"hsft","accuracy","right","right",0.4809
"hsft","accuracy","left","left",0.3998
